"","Document.ID","Tone","has_substantive_tone","Tone_justify","Tone_quote","Commenter_Role","Specialty","Patient_cost","Patient_quality","Provider_pay","Provider_pay_decrease","Provider_quality","Provider_logistics","Other","Justification","Quote","word_count","Concern_Level","State/Province","Role_category"
"1","FTC-2024-0022-0116","very_negative","0","""imperative,negative_word,strong_word,high_frequency""","""Private equity and for-profit healthcare should be illegal"",""For-profit healthcare insurance should be banned. """,NA,NA,"0","0","0",NA,"0","0",NA,"""It doesn't articulate the specific harmful effects; it merely expresses anger.""","""Private equity and for-profit healthcare should be illegal. For-profit healthcare insurance should be banned. Our healthcare system is embarrassing and immoral.""",21,"No Concern","NY",NA
"2","FTC-2024-0022-0142","very_negative","1","""negative_word,implicature,capitalization""","""Since I changed insurance I've been nyx better , mostly because I finally had an answer and am able to help myself."",""Doctors do NOT listen and are only interested in seeking pills. It's so difficult to get a referral for physical therapy even when you have a repetitive back injury and need it. "",""  Too many pills are a huge problem in our country""","patient",NA,"0","1","0",NA,"0","0",NA,"""The patient and her children have experienced multiple instances of misdiagnosis, which point out the low quality of healthcare""","""They nearly killed my child twice through misdiagnosis ( she is type 1 diabetic)and I personally went through 4 surgeries and 4 misdiagnoses and was barely able to function when they finally tested my b12 which was under 50! "",""Doctors do NOT listen and are only interested in seeking pills. It's so difficult to get a referral for physical therapy even when you have a repetitive back injury and need it.  """,157,"Low","WA","patient"
"3","FTC-2024-0022-0150","negative","1","""negative_word""","""For years, I've observed corporations treating hospitals as their private financial assets, prioritizing money over patient care and safety.""",NA,NA,"0","1","0",NA,"1","1",NA,""" prioritizing money over patient care and safety emphasize the low quality, doctor are forced to oversee lacking adequate medical expreience staff emphasize the bad working situation for provider""","""For years, I've observed corporations treating hospitals as their private financial assets, prioritizing money over patient care and safety."",""This focus has resulted in increased complications and patient deaths. "","" It's led to situations where doctors are forced to oversee APRNs or PAs lacking adequate medical experience, individuals they wouldn't trust to care for their own family members but are compelled to care for patients. Under corporate influence, medicine has shifted from patient-centered care to a focus on numbers.""",78,"Medium",NA,NA
"4","FTC-2024-0022-0160","negative","1","""negative_word""","""fear of this""","provider","emergency","1","1","0",NA,"0","0","""need government regulation"",""PE is not direct reason""",""" less care and more cost""","""Providing less care or charging more for it are the only ways to produce more profit from health systems, and private equity-- as opposed to community-based or publicly accountable institutions-- only acquires health systems for the same reason they acquire anything else: more profit. """,2720,"Medium","FL","provider"
"5","FTC-2024-0022-0243","very_negative","1","""negative_word,strong_word,high_frequency""","""It is particularly egregious that private equity firms are honing in on ERs. "","" These firms must not be allowed to get into the medical field, or at least, there should be regulation and oversight.""","nurse","register","1","0","0",NA,"0","0",NA,""" the only information is about high price""","""The U.S. medical system is overpriced as it is, "",""I am an R.N., and I have dealt with high-priced hospitals all my career. """,78,"Low","TX","provider"
"6","FTC-2024-0022-0245","negative","1","""negative_word""","""The belief that private business is superior to government operate entities is just one of the many ludicrous myths spread by fanatics and extremists on the for right.""",NA,NA,"0","0","0",NA,"0","0","""corruption"",""abuse"", ""inefficiency""",""" the second sentence claim the negative effect""","""The profit motive, more often than not leads to corruption, abuse, and inefficiency, particularly in large organizations and bureaucracy.""",47,"No Concern","NV",NA
"7","FTC-2024-0022-0260","neutral","0","""fact_based""","""Everyone deserves great ER care.""",NA,NA,"0","0","0",NA,"0","0",NA,"""no usefull information""","""Everyone deserves great ER care.""",5,"No Concern","CA",NA
"8","FTC-2024-0022-0286","very_negative","1","""negative_word,strong_word,high_frequency""","""Medicine for maximum profit is a societal wrong and needs to be addressed"",""Healthcare in this country has grown increasingly expensive""",NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""commenter claim the healthcare is expensive,  fewer choice for patient, higher risk for both patients and healthcare workers, reduced quality of service""","""Healthcare in this country has grown increasingly expensive, driven by privatization and consolidation, leaving citizens fewer and fewer choices and enabling ownership to raise prices in order to feed the beast of profits. "",""Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",167,"High","WI",NA
"9","FTC-2024-0022-0288","very_negative","0","""capitalization,punctuation,high_frequency""","""IT IS RACIST!!!""",NA,NA,"0","0","0",NA,"0","0",NA,"""It doesn't articulate the specific harmful effects; it merely expresses anger.""","""IT IS RACIST!!!""",3,"No Concern","IL",NA
"10","FTC-2024-0022-0315","very_negative","1","""negative_word,strong_word,implicature,high_frequency""","""Please stop the private equity takeover of emergencyrooms!""",NA,NA,"1","1","0",NA,"1","0","""need government regulation""","""PE prioritize profits over worker safety and patient care implies the low quality of healthcare and high risk working environment for provider, commenter also point out the high cost""","""Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",132,"High","NC",NA
"11","FTC-2024-0022-0380","very_negative","1","""negative_word,capitalization,punctuation""","""It was not outwardly obvious that I eas at high risk"",""Both times I would have died had I not been seen immediately"",""Fix our health care system NOW""","patient",NA,"0","1","0",NA,"0","0",NA,"""patient claim that no one prioritize his care ""","""If I were to go to an emergencyroom in these times, with the same problems, no one would prioritize my care and I would likely die before being seen.""",150,"Low","WA","patient"
"12","FTC-2024-0022-0437","very_negative","1","""negative_word,strong_word,punctuation,implicature,capitalization,high_frequency""","""UNACCEPTABLE!"",""I am glad to see the government recognize the problems presented by consolidation in health care industries"",""I urge you to consider implementing policies that would limit or restrict the ability of private equity firms to acquire and operate emergencyrooms. ""","patient",NA,"1","1","0",NA,"1","1","""need government regulation""","""patient use this own experience show the bad healthcare quality, and claim the PE bring the higher cost and risk for both patient and provider""",""" Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",190,"High","FL","patient"
"13","FTC-2024-0022-0464","very_negative","1","""negative_word,strong_word,imperative,punctuation,capitalization,high_frequency""",""" When I or others have need of emergencycare, we expect and need for our CARE, QUALITY of SERVICE and SAFETY to be paramount, not pushed out of the way by profits and money-grabbing!!! ""","patient",NA,"1","1","0",NA,"1","0","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""","""Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers. "",""When I or others have need of emergencycare, we expect and need for our CARE, QUALITY of SERVICE and SAFETY to be paramount, not pushed out of the way by profits and money-grabbing!!!  Health care costs are skyrocketing at the same time as timely care becomes difficult to get.  It's a disgrace! """,141,"High","IL","patient"
"14","FTC-2024-0022-0472","negative","1","""negative_word""","""infuriating,oppose""","patient","millitary veteran","0","1","0",NA,"1","1",NA,"""doctors are pressured to provide care with less time, The patien's experience is infuriating""","""My experience in taking a relative to an emergencyfacility staffed by a team of outsourced care providers was infuriating"",""The individual doctors and media staff appeared to be knowledgeable and experienced, but they were clearly pressured to address each patients' injuries and care needs much more hurriedly than some of the patients could understand.""",181,"Medium","OH","patient"
"15","FTC-2024-0022-0488","very_negative","1","""negative_word,strong_word,imperative,high_frequency""","""I am glad to see the government recognize the problems"",""I urge you ""","caregiver",NA,"1","1","0",NA,"1","0","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare, and working environment of provider""",""" Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers.""",141,"High","PA","other"
"16","FTC-2024-0022-0500","very_negative","1","""imperative,negative_word,strong_word,high_frequency""","""Stop the private equity usurpation of emergencyrooms."",""they shouldn't be used as a  means for private companies to make money by cutting corners.""","caregiver",NA,"0","1","0",NA,"0","0",NA,"""The viewpoint expressed implies a lack of exactly what is being advocated for in the current situation.""",""" Both my sister and mother have had to make use of emergencyrooms, and on those occasions speedy and expert treatment was necessary to save their lives.""",1741,"Low","CA","other"
"17","FTC-2024-0022-0533","negative","1","""negative_word""","""It left me dissatisfied with  the quality of the care I provided when I was trained to do much more for my patients.""","pharmacist","retired","0","1","0",NA,"1","1",NA,""" patient health do not pay enough care, Compassionate providers have been eroded by the system into profit-driven machines.“","""I am a retired pharmacist who has watched with dismay healthcare devolve from caring doctors, nurses, & pharmacists with long term relationships with patients & their families (& the discretion to properly meet their needs) into a money-making machine where the patient's wellbeing is of incidental if any concern.  """,219,"Medium","IL","provider"
"18","FTC-2024-0022-0534","very_negative","1","""negative_word,strong_word,capitalization,high_frequency""",""" This is a bad idea. There  are many things that should NEVER be privatized. THIS, medical care, is one of them. It's a grave mistake and will cost MORE lives."",""I demand you  consider implementing""","provider",NA,"1","1","0",NA,"1","0","""need government regulation""","""higher price and lower quality for patient and higher pressure for provider""",""" Private equity firms often prioritize profits over patient care and worker safety, leading to higher costs, reduced quality of service, and increased risks for both patients and healthcare workers. """,144,"High","MD","provider"
